	trait	predictor
Microvirga_vignae_BR3299	1	6.47
Neorhizobium_galegae_bv_officinalis_bv_officinalis_str_HAMBI_1141	1	6.41
Nitratireductor_aquibiodomus_EBB_35_1	0	4.49
Nitratireductor_indicus_C115	0	4.99
Nitratireductor_pacificus_pht-3B	0	4.47
Nitrobacter_hamburgensis_X14	0	5.01
Ochrobactrum_anthropi_ATCC_49188	0	5.21
Ochrobactrum_cytisi_IPA7_2	0	5.97
Ochrobactrum_intermedium_2745-2	0	4.8
Ochrobactrum_intermedium_M86	0	4.68
Ochrobactrum_pituitosum_AA2	0	5.47
Ochrobactrum_rhizosphaerae_SJY1	0	5.25
Ochrobactrum_sp_UNC390CL2Tsu3S39	0	4.62
Oligotropha_carboxidovorans_OM4	0	3.84
Parvibaculum_lavamentivorans_DS-1	0	3.91
Pelagibacterium_halotolerans_B2	0	3.95
Phyllobacterium_sp_YR531	0	5.0
Pleomorphomonas_oryzae_DSM_16300	0	5.23
Pseudaminobacter_manganicus_JH-7	0	4.84
Pseudochrobactrum_sp_B5	0	4.05
Pseudolabrys_sp_Root1462	0	4.74
Rhizobium_alamii_YR584	0	7.4
Rhizobium_giardinii_bv_giardinii_H152	1	6.81
Rhizobium_grahamii_CCGE_502	1	7.15
Rhizobium_leguminosarum_bv_phaseoli_CCGM1	1	6.87
Rhizobium_leguminosarum_bv_viciae_UPM1131	1	7.23
Rhizobium_leucaenae_USDA_9039	1	6.68
Rhizobium_marinum_MGL06	0	5.06
Rhizobium_mesoamericanum_STM6155	1	6.93
Rhizobium_mongolense_USDA_1844	1	7.17
Rhizobium_rhizosphaerae_RD15	0	5.18
Rhizobium_sp_59	0	5.46
Rhizobium_sp_AAP116	0	4.58
Rhizobium_sp_AAP43	0	4.88
Rhizobium_sp_CF080	0	7.05
Rhizobium_sp_CF097	0	6.86
Rhizobium_sp_CF122	0	6.14
Rhizobium_sp_CF394	0	6.63
Rhizobium_sp_IBUN	0	6.52
Rhizobium_sp_LC145	0	5.88
Rhizobium_sp_Leaf262	0	5.05
Rhizobium_sp_Leaf306	0	5.01
Rhizobium_sp_NT-26	0	4.58
Rhizobium_sp_OK494	0	7.41
Rhizobium_sp_PDO1-076	0	5.51
Rhizobium_sp_RU33A	0	4.85
Rhizobium_sp_RU36D	0	6.08
Rhizobium_sp_Root149	0	5.46
Rhizobium_sp_Root274	0	4.57
Rhizobium_sp_Root482	0	5.26
Rhizobium_sp_Root483D2	0	6.04
Rhizobium_sp_Root564	0	5.19
Rhizobium_sp_Root651	0	5.8
Rhizobium_sp_S41	0	5.52
Rhizobium_sp_YR528	0	6.18
Rhizobium_taibaishanense_14971	1	5.42
Rhizobium_tropici_CF286	0	7.14
Rhizobium_tropici_CIAT_899	1	6.69
Rhizobium_vignae_CCBAU_05176	1	6.34
Rhodopseudomonas_palustris_BisB5	0	4.89
Rhodopseudomonas_palustris_ELI_1980	0	5.65
Rhodopseudomonas_sp_AAP120	0	6.16
Shinella_sp_HZN7	0	7.35
Shinella_sp_SUS2	0	7.01
Sinorhizobium_fredii_CCBAU_83622	1	6.57
Sinorhizobium_meliloti_WSM4191	1	7.23
Sinorhizobium_sp_PC2	1	8.46
Sinorhizobium_sp_RAC02	0	6.63
Sinorhizobium_sp_Sb3	0	7.85
Tardiphaga_robiniae_Vaf-07	1	6.36
Tepidicaulis_marinus_MA2	0	3.48
Xanthobacter_sp_126	0	5.47
Xanthobacteraceae_bacterium_501b	0	5.11
